Region,lat,lon
North America,61.07,-107.99
USA,38.00,-97.00
East Asia,35.00,104.00
Europe,51.00,9.00
West Asia,35.00,38.00
South America,-10.33,-53.20
Australia,-24.78,134.76
Arab Middle East and North Africa,25.62,42.35
Sub-Saharan Africa,15.61,19.02
